"id","Protein.Name","Accession.Number","Molecular.Weight","Identified.Peptide.Count","Protein.Group.Score","Quantitative.Value","Kinter_120720_DIA_Pool_1.mzML","Kinter_120720_DIA_Pool_2.mzML","Kinter_120720_DIA_Pool_3.mzML","Kinter_120720_DIA_Sample_01_Q11_1D.mzML","Kinter_120720_DIA_Sample_02_Q11_2D.mzML","Kinter_120720_DIA_Sample_03_Q11_3D.mzML","Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","Kinter_120720_DIA_Sample_05_Q12_1D.mzML","Kinter_120720_DIA_Sample_06_Q12_2D.mzML","Kinter_120720_DIA_Sample_07_Q12_3D.mzML","Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","Kinter_120720_DIA_Sample_09_Q13_1D.mzML","Kinter_120720_DIA_Sample_10_Q13_2D.mzML","Kinter_120720_DIA_Sample_11_Q13_3D.mzML","Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","Kinter_120720_DIA_Sample_14_Q14_1D.mzML","Kinter_120720_DIA_Sample_15_Q14_2D.mzML","Kinter_120720_DIA_Sample_16_Q14_3D.mzML","Kinter_120720_DIA_Sample_17_Q15_1D.mzML","Kinter_120720_DIA_Sample_18_Q15_2D.mzML","Kinter_120720_DIA_Sample_19_Q15_3D.mzML","Kinter_120720_DIA_Sample_20_R71_1D.mzML","Kinter_120720_DIA_Sample_21_R71_2D.mzML","Kinter_120720_DIA_Sample_22_R71_3D.mzML","Kinter_120720_DIA_Sample_23_R72_1D.mzML","Kinter_120720_DIA_Sample_24_R72_2D.mzML","Kinter_120720_DIA_Sample_25_R72_3D.mzML","Kinter_120720_DIA_Sample_26_R73_1D.mzML","Kinter_120720_DIA_Sample_27_R73_2D.mzML","Kinter_120720_DIA_Sample_28_R73_3D.mzML","Kinter_120720_DIA_Sample_29_R74_1D.mzML","Kinter_120720_DIA_Sample_30_R74_2D.mzML","Kinter_120720_DIA_Sample_31_R74_3D.mzML","Kinter_120720_DIA_Sample_32_R75_1D.mzML","Kinter_120720_DIA_Sample_33_R75_2D.mzML","Kinter_120720_DIA_Sample_34_R75_3D.mzML"
"1314","sp|P48771|CX7A2_MOUSE Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus OX=10090 GN=Cox7a2 PE=1 SV=2","sp|P48771|CX7A2_MOUSE","9 kDa",2,0.99920461,0,110776600,112958400,86120160,188062600,172118500,155205600,302000200,116942700,95472840,41903060,65673830,115350500,115016600,58277580,73334810,93796790,100206600,68175480,108809000,106377700,73795530,161275400,161762700,118395900,115913700,108044000,88638290,91092810,82841360,59841880,100687500,99587910,68195090,133581000,115075000,102776800
"1315","sp|Q8VE95|CH082_MOUSE UPF0598 protein C8orf82 homolog OS=Mus musculus OX=10090 PE=1 SV=1","sp|Q8VE95|CH082_MOUSE","24 kDa",5,0.99920448,0,31298010,29271400,36510320,43276860,41747800,41947160,44486000,31084450,28066290,20041330,28493690,37173490,35061560,23812280,28876250,26870690,32107510,25645680,31522180,34200720,26424900,42551730,45437750,42605440,34638220,34179090,30435290,31381350,29219870,27714870,31506570,30816500,28643090,36377430,31854830,31252550
"1316","sp|Q3UQ28|PXDN_MOUSE Peroxidasin homolog OS=Mus musculus OX=10090 GN=Pxdn PE=1 SV=2","sp|Q3UQ28|PXDN_MOUSE","165 kDa",6,0.999203957,0,806033.3,755383.7,485639.1,1240708,741587.6,419356,523973.5,879787.7,1026154,286112.5,796812.7,641447.8,835080.1,395684.6,624052.1,531291.9,653754.8,164260.9,562349.4,721313.8,352733.9,970787,993713.2,601089.6,661970.2,744260.7,422321.1,435605.1,432557.7,323167.8,563040.7,456296.8,299263.5,476281.4,444260.2,348866.9
"1317","sp|Q99N84|RT18B_MOUSE 28S ribosomal protein S18b, mitochondrial OS=Mus musculus OX=10090 GN=Mrps18b PE=1 SV=1","sp|Q99N84|RT18B_MOUSE","29 kDa",4,0.999202634,0,4958308,4812631,4244935,7381895,4484198,4851136,7847081,3928074,3144140,2287385,3220817,6346114,4420482,2326686,3146087,3231702,2976009,3841348,3596563,4368729,2591296,7670848,7513810,5512919,5047561,5557235,3254509,6130005,4132160,3606021,5776565,3025511,3427146,4788838,4753896,3845015
"1318","sp|P08228|SODC_MOUSE Superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod1 PE=1 SV=2","sp|P08228|SODC_MOUSE","16 kDa",7,0.999201888,0,1019649000,1005337000,1133149000,2347968000,1711036000,1595525000,2681378000,1101198000,986055300,600287700,875718800,1252205000,1097131000,698980800,890370300,1119823000,1007395000,743218700,954670800,991540000,720543600,1267952000,1143369000,1129743000,1174180000,1177723000,1029903000,1022418000,1018027000,913425900,1035379000,949404600,882111000,1146661000,1059574000,931563600
"1319","sp|Q9CRC9|GNPI2_MOUSE Glucosamine-6-phosphate isomerase 2 OS=Mus musculus OX=10090 GN=Gnpda2 PE=1 SV=1","sp|Q9CRC9|GNPI2_MOUSE","31 kDa",3,0.999201786,0,294668.1,171720,109944.6,253113.4,74800.21,55230.8,226454.2,256043.2,117092.5,90336.35,149931.5,216457.4,195701.4,102303.1,118851,15836.16,95726.23,138143.8,118756.4,182981.8,149300.3,138507,154209.9,185538.1,151072.2,252632.8,212604.4,243870.5,242864.2,85423.75,256100.3,204159.9,194762.8,175993.2,275366.7,83211.74
"1320","sp|Q8R0P4|AAMDC_MOUSE Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1","sp|Q8R0P4|AAMDC_MOUSE","13 kDa",7,0.99920111,0,19198700,17835020,14674670,40089860,30058270,25072410,44775660,21877120,20763600,9664522,13752120,22981570,22268530,12836810,13714260,19384670,20668390,15518590,19490760,19785480,14550470,20995300,17095230,19244580,17417440,17664250,17459490,13583030,15056260,13895530,16665080,15046810,13857410,14494150,14592710,13538060
"1321","sp|P35505|FAAA_MOUSE Fumarylacetoacetase OS=Mus musculus OX=10090 GN=Fah PE=1 SV=2","sp|P35505|FAAA_MOUSE","46 kDa",8,0.999200439,0,29757180,29926310,26556300,63904580,53012010,47920570,75778030,34339670,33469020,16924550,23169660,33162120,31158740,20288700,23808490,33593420,34503470,26036190,38137840,42082140,32991610,26608340,24048990,23225240,24010470,23218150,20678540,28586880,30212750,25853530,28107490,30090630,28219830,22810870,23276040,23038260
"1322","sp|Q8BZW8|NHLC2_MOUSE NHL repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Nhlrc2 PE=1 SV=1","sp|Q8BZW8|NHLC2_MOUSE","78 kDa",7,0.999197721,0,25494130,24385340,23180040,40987180,35645310,31925240,45062000,28771720,27869150,16110290,21860050,29564420,27882220,15805220,19639840,23168850,28070390,18611000,22940930,25030960,18337960,29441850,31398140,23049340,26390020,27724880,22435730,23930700,22097700,18545170,21990060,19949810,18359720,27077650,23982250,20020660
"1323","sp|Q8QZY1|EIF3L_MOUSE Eukaryotic translation initiation factor 3 subunit L OS=Mus musculus OX=10090 GN=Eif3l PE=1 SV=1","sp|Q8QZY1|EIF3L_MOUSE","67 kDa",11,0.999197691,0,3984836,5116106,5788691,9027398,6806650,8252381,10960170,6079807,5135359,4269184,5451177,4998812,4488720,5052446,3137884,5865046,4504464,4519440,6070842,7045431,6002112,4703193,5266237,5260712,3397466,5593210,6367772,3923156,3818577,5649647,5572473,5226520,5085611,3844647,6134751,4087819
"1324","sp|Q8K1R3|PNPT1_MOUSE Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Pnpt1 PE=1 SV=1","sp|Q8K1R3|PNPT1_MOUSE","86 kDa",5,0.999197129,0,1596449,1214091,1194733,1990834,1993886,2083494,2259605,1290114,1633790,477013.5,1440884,1521286,1682398,684820.9,1368318,1598410,1780401,979369.9,1913325,2022352,1242072,2007219,1752458,940787.8,1308869,1494988,1042407,1236732,1487119,936859.5,1349144,1498334,1216728,1888238,1506390,1236694
"1325","sp|Q8R105|VP37C_MOUSE Vacuolar protein sorting-associated protein 37C OS=Mus musculus OX=10090 GN=Vps37c PE=1 SV=1","sp|Q8R105|VP37C_MOUSE","38 kDa",4,0.999196458,0,2342525,2054998,1728730,3661481,2870363,2370418,2300914,2720203,2315987,1349116,1934047,3018347,2216011,1160836,1777612,2160125,2712443,1595610,2125447,2790944,1688477,2381950,2512441,1833677,2427264,2509266,2141072,2452039,1595706,2099535,2492029,2442540,2204872,2142572,1790340,1500934
"1326","sp|Q9EPB5|SERHL_MOUSE Serine hydrolase-like protein OS=Mus musculus OX=10090 GN=Serhl PE=1 SV=1","sp|Q9EPB5|SERHL_MOUSE","35 kDa",6,0.999195968,0,10735080,10527600,10750100,15745340,12843650,9970957,20756130,9158280,8090497,3828493,6163905,8986486,9232943,5244702,5926907,9618970,10442670,6516858,9651394,8515050,6424035,16463140,17761130,12441710,12985070,12325470,10895950,11387130,10102310,9516484,12272440,11557450,10257420,16227380,13048440,12601310
"1327","sp|P11276|FINC_MOUSE Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=4","sp|P11276|FINC_MOUSE","273 kDa",23,0.999194742,0,13228400,11034500,12650590,17253150,11287000,9098436,12227000,11480100,8182098,3542196,7097364,17475410,14007380,8803443,10330630,19551460,17425310,10810210,11471000,10996500,8281571,15642230,15816780,10979770,16918080,15892260,9763219,19523440,18806900,13199280,15418910,14493980,12048820,16378190,12897610,11871280
"1328","sp|P49817|CAV1_MOUSE Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1","sp|P49817|CAV1_MOUSE","21 kDa",6,0.999194454,0,18929610,18829320,18545030,27366310,28743870,29686270,31772950,19736190,19944590,11888280,18493450,25669010,23846770,16826090,21068180,25469350,25091440,20621240,19981040,21419720,16998840,20644870,18824480,21920110,18877300,18690370,19214600,14797080,15740990,15440000,17304680,16627100,17904340,18151300,17184370,17501100
"1329","sp|O54786|DFFA_MOUSE DNA fragmentation factor subunit alpha OS=Mus musculus OX=10090 GN=Dffa PE=1 SV=2","sp|O54786|DFFA_MOUSE","37 kDa",4,0.999194291,0,2479765,2780679,1709829,5052585,4347087,3503559,4754548,2712094,3090155,1240752,1510629,2852583,3170468,1544612,2144620,4060532,4138998,1977821,3384966,3284667,1524897,3352886,3152875,2148308,2906972,2226948,1561817,2493156,2284694,1537203,2034983,1524147,664678,2387598,2355418,1417318
"1330","sp|Q9DCC4|P5CR3_MOUSE Pyrroline-5-carboxylate reductase 3 OS=Mus musculus OX=10090 GN=Pycr3 PE=1 SV=2","sp|Q9DCC4|P5CR3_MOUSE","29 kDa",3,0.999194246,0,2950566,3309377,2744078,5932343,4911796,4196094,8255126,4026764,3850143,1552210,2269249,4381834,3358984,2130538,3100711,2555242,2727276,2046271,3589249,3968197,3147217,4098911,4919114,3875037,4416669,3579855,2848602,3454983,3661915,3074303,3340466,2999006,2137680,3474319,3847760,3635755
"1331","tr|E9Q912|E9Q912_MOUSE RAP1, GTP-GDP dissociation stimulator 1 OS=Mus musculus OX=10090 GN=Rap1gds1 PE=1 SV=1","tr|E9Q912|E9Q912_MOUSE","66 kDa",8,0.999193307,0,10599490,9441208,11076730,15997920,14194450,14198690,17325930,11235230,11148990,6652190,9517592,12675650,11751700,7171057,8533198,9034379,9749936,7389737,10230760,9781148,6833210,11945290,11978880,10845300,11595600,11672040,9061071,8800244,8964146,7922789,8728985,8093482,7537500,9014977,7724287,6937618
"1332","sp|Q8C7H1|MMAA_MOUSE Methylmalonic aciduria type A homolog, mitochondrial OS=Mus musculus OX=10090 GN=Mmaa PE=1 SV=1","sp|Q8C7H1|MMAA_MOUSE","46 kDa",9,0.999192664,0,13225930,18024080,15543240,18037900,19989800,10932840,36075820,15621930,13242260,7882849,12729610,17322660,11574780,10838380,13879990,12713530,15475830,24971940,16676270,9948584,9174302,14010780,20641920,17419010,12864890,15368240,11929830,12917630,13918240,12123400,14338440,13664700,10900380,16684450,15766100,12587450
"1333","sp|Q62165|DAG1_MOUSE Dystroglycan OS=Mus musculus OX=10090 GN=Dag1 PE=1 SV=4","sp|Q62165|DAG1_MOUSE","97 kDa",3,0.999192425,0,605680,574856.7,397789.4,1997670,1102680,1478303,2265154,733016.5,698321.9,26646.82,307221.1,1054282,934942,420204.1,558557.6,1499573,1488747,673444.6,734723.1,768360.1,366669.5,913937.5,933892.4,355228.3,587556.5,512854.7,300595.2,170716.9,208979.7,128079.9,398351.9,438650.3,258102,447603.2,502873.2,347639.9
"1334","sp|Q8CDG3|VCIP1_MOUSE Deubiquitinating protein VCIP135 OS=Mus musculus OX=10090 GN=Vcpip1 PE=1 SV=1","sp|Q8CDG3|VCIP1_MOUSE","135 kDa",2,0.999191447,0,484109.6,499057.6,537744.6,863483.5,809073.7,1009843,1029509,617048,629049.9,396106.3,490789.3,563628.9,519905.9,346825.9,431464.8,536809,345240.8,422146.8,509223.3,503811.6,377149.3,562345.6,663183.7,459760.2,634840,528038.7,394376.1,615806.8,509398.3,398833.3,421929,465950.4,328657.6,558764.9,447246.6,513933
"1335","sp|P47963|RL13_MOUSE 60S ribosomal protein L13 OS=Mus musculus OX=10090 GN=Rpl13 PE=1 SV=3","sp|P47963|RL13_MOUSE","24 kDa",5,0.999190913,0,30027890,30296590,28176920,39763350,38716060,28710560,35187940,31426040,28668950,15606020,22254380,34481320,33201360,20608980,25139760,33098320,36282340,27677010,32502630,31549150,26118850,39043520,39864290,33140720,34041910,35109140,28147290,26420460,26239370,21145930,25859160,25678000,21789170,35413520,31263190,28164360
"1336","sp|O35343|IMA3_MOUSE Importin subunit alpha-3 OS=Mus musculus OX=10090 GN=Kpna4 PE=1 SV=1","sp|O35343|IMA3_MOUSE","58 kDa",6,0.999190887,0,226911.2,364894,125928.9,2560084,5657183,1810556,3341772,465783.7,412089.2,35493.24,335824.6,2486229,580694.2,54571.17,274423.8,593863.2,610700.9,117888.4,1320038,507709.2,163226.1,534010.8,1054875,190109.8,490676.1,248414.2,187261.1,197809.9,165227.4,146375.9,515915.2,232749.1,1230285,376493.1,310209.3,263303.1
"1337","sp|Q8C5H8|NAKD2_MOUSE NAD kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Nadk2 PE=1 SV=2","sp|Q8C5H8|NAKD2_MOUSE","51 kDa",12,0.999189789,0,17450640,16426600,15937940,29233660,23223300,21393750,32491820,19365890,16623430,8684752,12833240,21262870,20589340,10726530,11617910,13686080,14743240,10420530,16488430,16751210,14060070,21400260,23734580,18474450,16711620,18567790,14850870,15762990,14724150,12929200,15157820,15125320,13591200,17258510,18639360,16914140
"1338","sp|Q9DBP5|KCY_MOUSE UMP-CMP kinase OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1","sp|Q9DBP5|KCY_MOUSE","22 kDa",6,0.99918843,0,26382280,25565920,22552080,48045270,45724310,39804850,47827950,33401690,28966050,17668470,23810840,30007220,27610110,17959760,23183500,24541910,26338950,22379340,25277180,25308560,22841450,26884740,32199580,26317710,26738610,29421260,26046080,27319300,28240530,24612180,28785150,22792750,22419970,26528120,23804230,23309720
"1339","sp|Q6P1F6|2ABA_MOUSE Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Mus musculus OX=10090 GN=Ppp2r2a PE=1 SV=1","sp|Q6P1F6|2ABA_MOUSE","52 kDa",11,0.999187701,0,35722730,34047180,23345060,89837440,66038040,59209360,110888800,40627090,38935550,12719840,23266710,43536740,43957070,17941790,27702390,39056810,35641560,20847510,36275050,35200850,21031250,42531690,42042010,27026800,37877810,34395670,22859610,29756590,24745190,16962180,27205200,26828390,20477090,31438020,28464860,24467920
"1340","sp|P24369|PPIB_MOUSE Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2","sp|P24369|PPIB_MOUSE","24 kDa",4,0.999187569,0,3094283,2527815,2422592,4780695,2828454,1423686,2760517,3489826,2451726,1606323,1920996,3745326,3127575,2100951,2876894,3151401,2540065,2764654,3457837,2808515,2716988,4542713,3763848,3644287,4211653,2889785,3145711,3071759,3301817,2861008,2980908,2535531,3088737,2590989,2807032,3047505
"1341","sp|Q60739|BAG1_MOUSE BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=3","sp|Q60739|BAG1_MOUSE","40 kDa",4,0.999185812,0,3782295,3385416,3104581,4915508,5932890,4067900,5085662,4114955,4096239,1907965,3606976,4737025,4263436,2479550,2460631,2638634,4322932,2336360,3400941,2800266,1913233,3471905,4070880,3426047,2839272,3250253,3454759,3575785,3346707,3556830,3186679,3042016,3409405,3297608,3422220,2858352
"1342","tr|Q8R5I6|Q8R5I6_MOUSE Glutathione S-transferase mu 4 OS=Mus musculus OX=10090 GN=Gstm4 PE=1 SV=1","tr|Q8R5I6|Q8R5I6_MOUSE","26 kDa",11,0.999182916,0,2814121,3575667,2861294,4950328,4624800,2173772,3292351,4377905,3843086,1867431,2721822,4072445,3715925,1353398,2468760,3563725,3416124,2196229,3475540,3585870,2486333,3062448,3415557,2255983,2938911,3308778,2419083,2680425,2831424,1881204,2676040,2695109,1604407,3305604,2774306,2123497
"1343","sp|Q9D0I9|SYRC_MOUSE Arginine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Rars PE=1 SV=2","sp|Q9D0I9|SYRC_MOUSE","76 kDa",25,0.999181328,0,27493250,27190120,22003300,55347170,44309780,37980340,56604820,34313220,30757650,13684890,22170770,33713620,32074600,16016650,21374270,28946080,30906600,18458620,30394650,31120240,21537570,31483720,33534200,22371090,26626170,25816320,19946560,27255000,27291660,19478570,26687020,23580340,19513860,26260180,23162770,20654550
"1344","sp|P97379|G3BP2_MOUSE Ras GTPase-activating protein-binding protein 2 OS=Mus musculus OX=10090 GN=G3bp2 PE=1 SV=2","sp|P97379|G3BP2_MOUSE","54 kDa",2,0.99918101,0,1249079,1140362,929061.1,1625688,1721950,1040637,1486448,1090475,1154395,626107.6,937867,1331849,1352330,927747.2,783871.1,1334435,1419124,1042396,1269627,1081665,813007.8,1362344,1635124,1143216,739263.4,1109830,1127075,1057019,1024770,1006656,845901.9,942256.7,746063.1,1329071,1123766,1240304
"1345","Group of sp|P01654|KV3A1_MOUSE Ig kappa chain V-III region PC 2880/PC 1229 OS=Mus musculus OX=10090 PE=1 SV=1","sp|P01654|KV3A1_MOUSE (+2)","0",3,0.999180152,0,186357.6,304197.9,213034.6,74789.61,70349.64,31633.89,90728.78,326953.7,317635,83037.88,265584.9,127369.8,112576.4,76410.91,147404.4,134769.7,126681.1,70040.2,191180.7,212534.9,110716.6,518946.1,379042.7,474529.6,532976.3,497668.8,395850.2,242354.4,329851.3,346191.7,407073.2,567558.6,277137.4,226649.8,232471,52778.6
"1345.1","sp|P01654|KV3A1_MOUSE Ig kappa chain V-III region PC 2880/PC 1229 OS=Mus musculus OX=10090 PE=1 SV=1","sp|P01654|KV3A1_MOUSE","12 kDa",3,0.999180152,0,186357.6,304197.9,213034.6,74789.61,70349.64,31633.89,90728.78,326953.7,317635,83037.88,265584.9,127369.8,112576.4,76410.91,147404.4,134769.7,126681.1,70040.2,191180.7,212534.9,110716.6,518946.1,379042.7,474529.6,532976.3,497668.8,395850.2,242354.4,329851.3,346191.7,407073.2,567558.6,277137.4,226649.8,232471,52778.6
"1345.2","sp|P01655|KV3A2_MOUSE Ig kappa chain V-III region PC 7132 OS=Mus musculus OX=10090 PE=1 SV=1","sp|P01655|KV3A2_MOUSE","12 kDa",3,0.999180152,0,186357.6,304197.9,213034.6,74789.61,70349.64,31633.89,90728.78,326953.7,317635,83037.88,265584.9,127369.8,112576.4,76410.91,147404.4,134769.7,126681.1,70040.2,191180.7,212534.9,110716.6,518946.1,379042.7,474529.6,532976.3,497668.8,395850.2,242354.4,329851.3,346191.7,407073.2,567558.6,277137.4,226649.8,232471,52778.6
"1345.3","tr|A0A075B5P0|A0A075B5P0_MOUSE Immunoglobulin kappa variable 3-2 (Fragment) OS=Mus musculus OX=10090 GN=Igkv3-2 PE=4 SV=7","tr|A0A075B5P0|A0A075B5P0_MOUSE","13 kDa",3,0.999180152,0,186357.6,304197.9,213034.6,74789.61,70349.64,31633.89,90728.78,326953.7,317635,83037.88,265584.9,127369.8,112576.4,76410.91,147404.4,134769.7,126681.1,70040.2,191180.7,212534.9,110716.6,518946.1,379042.7,474529.6,532976.3,497668.8,395850.2,242354.4,329851.3,346191.7,407073.2,567558.6,277137.4,226649.8,232471,52778.6
"1346","sp|Q9Z0F7|SYUG_MOUSE Gamma-synuclein OS=Mus musculus OX=10090 GN=Sncg PE=1 SV=1","sp|Q9Z0F7|SYUG_MOUSE","13 kDa",9,0.999176804,0,4831320,5043207,4632550,8499778,6955450,5463904,8969669,6305504,6726909,3208206,5178134,4959582,5659699,3742683,4958792,5637267,4718540,5023649,4930653,5449160,4847835,4694459,6244160,5203056,5765356,5710709,5373238,4474578,5764647,4744150,6389349,4959005,3953329,4283340,5144569,4219271
"1347","sp|Q8BTZ7|GMPPB_MOUSE Mannose-1-phosphate guanyltransferase beta OS=Mus musculus OX=10090 GN=Gmppb PE=1 SV=1","sp|Q8BTZ7|GMPPB_MOUSE","40 kDa",8,0.999176327,0,4244809,4243257,2926674,10090590,7511080,6919611,10310620,5665468,4716846,1866900,3208090,6028504,4965466,2572216,3434239,5276360,4612254,2894275,4813577,4777332,3297104,6464614,4883950,3533425,4597774,6123036,2385606,2746827,2303343,1505131,2880260,2648517,1862647,3777112,3403156,3180957
"1348","sp|P18242|CATD_MOUSE Cathepsin D OS=Mus musculus OX=10090 GN=Ctsd PE=1 SV=1","sp|P18242|CATD_MOUSE","45 kDa",12,0.999173756,0,28026620,27109990,18780370,34843090,28807400,12592740,27110880,24389220,22098450,7913374,11829170,23655460,22530850,8744323,15125410,20305550,21317760,11019440,26357060,25003250,13632230,42860260,38845410,25241120,31435670,27863880,20867180,26486480,26122610,17739740,29430660,27096510,19760320,38189330,36173110,25164030
"1349","sp|Q99LD8|DDAH2_MOUSE N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Mus musculus OX=10090 GN=Ddah2 PE=1 SV=1","sp|Q99LD8|DDAH2_MOUSE","30 kDa",6,0.999173101,0,13677350,12581290,12154920,22679310,19582570,18974470,26228080,16385400,15196350,7299934,11064020,17081640,15771920,8285610,10980080,14259690,15643740,8889705,13840230,13484410,9293723,15900200,15889630,11847470,14719160,13827490,12047050,13247990,11760080,10267180,12935760,11077610,9656016,13106750,11635480,9457995
"1350","sp|Q8BRT1|CLAP2_MOUSE CLIP-associating protein 2 OS=Mus musculus OX=10090 GN=Clasp2 PE=1 SV=1","sp|Q8BRT1|CLAP2_MOUSE","141 kDa",5,0.999172745,0,737630.5,971915.4,1096316,1157169,879331.9,1233127,1618850,856044,295242.6,387864.7,652564.4,522393.2,771077.2,425074.2,592679.6,616278.2,858364,816779.1,522582,627294.6,530149.2,932580.9,1182026,898307.3,745824.8,687723.4,737173,616569.9,643995.3,832989.5,424282.4,646762.4,652728.5,892583.4,935214.1,722406.8
"1351","sp|Q9CR57|RL14_MOUSE 60S ribosomal protein L14 OS=Mus musculus OX=10090 GN=Rpl14 PE=1 SV=3","sp|Q9CR57|RL14_MOUSE","24 kDa",4,0.999169087,0,6260237,5693967,6802055,10200660,7259195,6489967,10252990,5893145,4931308,4884723,5553831,7404714,8496410,5951922,6600622,9197045,9229659,8336665,7062772,7735524,5422357,6810784,6156709,8448540,6118459,4767465,3479668,3871733,3660520,2691430,5717240,2562187,3140459,6116350,4511334,4370687
"1352","sp|Q8VE38|OXND1_MOUSE Oxidoreductase NAD-binding domain-containing protein 1 OS=Mus musculus OX=10090 GN=Oxnad1 PE=1 SV=2","sp|Q8VE38|OXND1_MOUSE","35 kDa",5,0.999165284,0,3006576,3080372,3126109,7346174,5050372,5595458,6063501,3482706,3106893,2040664,3830936,3806877,3443701,2306658,3131369,3080243,3291567,2543877,3203346,3477449,2480307,3245346,3595541,3514207,2522663,2811452,3056439,2471472,2609683,2522397,2808734,2900261,2260109,2795968,2416062,3328191
"1353","sp|Q3UHJ0|AAK1_MOUSE AP2-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=2","sp|Q3UHJ0|AAK1_MOUSE","103 kDa",8,0.999162712,0,5369334,4909849,5725746,8278535,7393243,6216825,8064706,5862626,4951899,2965897,4202821,5885211,5464090,3862439,4231031,5736292,5867185,4086504,5344149,5407618,3738634,4907284,5121361,3941479,5038143,5218905,4568923,4915799,4238429,3416022,4834817,4085455,3809741,4820035,4526695,3388421
"1354","sp|Q9WV55|VAPA_MOUSE Vesicle-associated membrane protein-associated protein A OS=Mus musculus OX=10090 GN=Vapa PE=1 SV=2","sp|Q9WV55|VAPA_MOUSE","28 kDa",6,0.99916254,0,6026141,6456634,5747375,9398287,7147421,7073893,5730098,7146612,9302380,3716455,5410011,6915791,7171018,5224105,5738793,7699190,7473962,7679704,6099879,6673698,5991650,6563930,7073264,7592335,5584331,6591272,6440993,6503299,6781653,5816680,7158895,6170541,5888436,5292350,6079446,5822923
"1355","sp|Q5IRJ6|ZNT9_MOUSE Zinc transporter 9 OS=Mus musculus OX=10090 GN=Slc30a9 PE=1 SV=2","sp|Q5IRJ6|ZNT9_MOUSE","63 kDa",5,0.999162511,0,5092831,5978520,6266991,7561123,6713362,5611959,7664264,5107474,4426680,2776415,3679936,6330025,4499887,5374583,5284122,8071607,5748687,4196038,5505661,6306321,5659568,4716784,6283734,7002583,4164434,5019767,5179220,3847586,4356787,5076535,4084490,5107480,5361587,4091906,4347846,5308814
"1356","sp|Q9D8S9|BOLA1_MOUSE BolA-like protein 1 OS=Mus musculus OX=10090 GN=Bola1 PE=1 SV=1","sp|Q9D8S9|BOLA1_MOUSE","14 kDa",6,0.999161973,0,3723346,2754916,3020940,8853188,7602020,5048609,10999050,4312972,3561159,1577469,2822076,3995679,4858802,2774815,2624153,4496405,4330980,3353987,3775802,4575666,3090182,4458615,3859497,2616204,2635920,3338167,2489376,2687712,2944644,2806111,3192205,2812474,2000824,3590436,3648363,1842743
"1357","sp|Q08024|PEBB_MOUSE Core-binding factor subunit beta OS=Mus musculus OX=10090 GN=Cbfb PE=1 SV=1","sp|Q08024|PEBB_MOUSE","22 kDa",2,0.999160871,0,36398.37,74144.44,53168.12,151683.8,74429.34,0,229070.5,85887.59,58332.18,75280.22,70338.37,139719.2,72135.03,45498.96,20049.06,93549.96,54811.12,78380.31,45959.82,91021.73,77280.7,33621.94,153861.7,81427.73,145676.7,141570.1,30273.98,49821.28,49704.14,73374.44,73869.38,72316.39,47962.57,140519.9,75653.41,129291.2
"1358","sp|Q8BFY9|TNPO1_MOUSE Transportin-1 OS=Mus musculus OX=10090 GN=Tnpo1 PE=1 SV=2","sp|Q8BFY9|TNPO1_MOUSE","102 kDa",8,0.999160212,0,6689500,8529676,7900612,11968010,9778603,14944430,15691570,8618988,8548408,6805312,8287675,7145153,7752240,7778970,8539309,7042190,7309679,7796729,6932607,7409479,8357378,7110250,5635429,10094790,6733899,7378613,8615629,5452021,7256088,8284191,6221297,7877148,7535621,5341175,9135132,9361387
"1359","sp|Q9CXV1|DHSD_MOUSE Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdhd PE=1 SV=2","sp|Q9CXV1|DHSD_MOUSE","17 kDa",2,0.999158526,0,23828260,31030950,23902810,43783230,39860700,70293130,82778530,33824180,27642660,13737490,19535710,29521310,25793960,20364920,31504670,26167330,22173870,18674310,28406380,33490920,29272080,26231800,21232060,33917600,21832940,27203400,35249930,18714250,29710010,32968620,27015020,34064490,31889260,24300130,33311190,38587550
